date,con_closing,act_closing,con_settlement,act_settlement,turnover,transaction,inventory,act_invent,con_invent
2019-03-01 00:00:00,449.3,449.3,443.2,443.2,254822.0,11300387.5,58790.0,42116.0,42116.0
2019-03-04 00:00:00,436.1,436.1,439.3,439.3,355274.0,15612352.04,63108.0,43662.0,43662.0
2019-03-05 00:00:00,434.5,434.5,439.0,439.0,270064.0,11859221.56,69542.0,45128.0,45128.0
2019-03-06 00:00:00,438.6,438.6,434.2,434.2,352178.0,15298208.3,67838.0,40326.0,40326.0
2019-03-07 00:00:00,440.0,440.0,439.4,439.4,381636.0,16778918.5,64884.0,38266.0,38266.0
2019-03-08 00:00:00,437.0,437.0,440.2,440.2,303158.0,13353570.08,61958.0,36664.0,36664.0
2019-03-11 00:00:00,439.7,439.7,432.1,432.1,312132.0,13499785.32,61734.0,35130.0,35130.0
2019-03-12 00:00:00,444.2,444.2,444.7,444.7,322946.0,14380940.08,66386.0,36480.0,36480.0
2019-03-13 00:00:00,445.5,445.5,444.4,444.4,257518.0,11456237.58,62884.0,32498.0,32498.0
2019-03-14 00:00:00,452.7,452.7,450.0,450.0,293588.0,13227294.84,65444.0,32812.0,32812.0
2019-03-15 00:00:00,455.0,455.0,452.2,452.2,297038.0,13441018.12,62718.0,26774.0,26774.0
2019-03-18 00:00:00,452.8,451.2,448.9,448.5,281272.0,12625884.22,60932.0,34596.0,21412.0
2019-03-19 00:00:00,468.2,457.3,460.1,455.5,243100.0,11121466.1,57412.0,41768.0,9874.0
2019-03-20 00:00:00,465.5,457.5,464.5,455.3,230884.0,10515982.76,56564.0,42176.0,8448.0
2019-03-21 00:00:00,472.5,463.9,467.1,459.4,316322.0,14534088.48,62966.0,48976.0,7358.0
2019-03-22 00:00:00,467.3,460.9,471.2,460.8,261114.0,12036997.32,55604.0,44852.0,4354.0
2019-03-25 00:00:00,454.0,450.2,462.0,451.8,299624.0,13537943.14,49838.0,40322.0,3226.0
2019-03-26 00:00:00,455.2,454.8,459.0,453.3,244938.0,11102955.98,48928.0,37118.0,3192.0
